Repository,Forks,additions,Deletions,Total,Messages 
ex_doc,261,40,30,70,"Bump karma from 6.3.14 to 6.3.16 in /assets (#1526)Bumps [karma](https://github.com/karma-runner/karma) from 6.3.14 to 6.3.16.- [Release notes](https://github.com/karma-runner/karma/releases)- [Changelog](https://github.com/karma-runner/karma/blob/master/CHANGELOG.md)- [Commits](https://github.com/karma-runner/karma/compare/v6.3.14...v6.3.16)---updated-dependencies:- dependency-name: karma  dependency-type: direct:development...Signed-off-by: dependabot[bot] <support@github.com>Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>"
ex_doc,261,45,8,53,"Remove ""Specs"" heading and render full typespecs (#1455)"
ex_doc,261,22,44,66,Simplify tests
ex_doc,261,50,10,60,support for `source_url_pattern` in config being a function (#1529)
ex_doc,261,9,3,12,Fix sorting when a list of dirs is provided (#1530)
ex_doc,261,12,12,24,"Fix css in blockquote, closes #1528"
ex_doc,261,0,2,2,Remove unused alias
ex_doc,261,193,152,345,Unify some functionality around ExDoc.Utils
PySide.jl,6,94,101,195,tweaks to make precompilable
PySide.jl,6,82,90,172,changes to reflect recent (and not so recent) changes to Julia
PySide.jl,6,4,0,4,add basic test
PySide.jl,6,1,1,2,Merge branch 'master' of git://github.com/jverzani/PySide.jl
PySide.jl,6,30,15,45,"fix data frames example, add REQUIRES"
PySide.jl,6,1,1,2,update exec call
PySide.jl,6,12,2,14,condition on python version
PySide.jl,6,15,10,25,remove pyqtgraph dependency
PySide.jl,6,4,2,6,"README fix, qtnamespace"
PySide.jl,6,2,1,3,add QtNamespace import
PySide.jl,6,1,1,2,fix error in README example
PySide.jl,6,6,4,10,clean up bugs in example
PySide.jl,6,5,0,5,"Merge pull request #4 from timholy/masterDocument installation steps"
PySide.jl,6,6,4,10,"add back in widgets, pyqtgraph"
PySide.jl,6,5,0,5,Document installation steps
PySide.jl,6,1,1,2,update eventloop
PySide.jl,6,5,29,34,add in code from pycall for integrating with event loop
PySide.jl,6,25,15,40,tidy up docs
PySide.jl,6,99,78,177,"fix examples, kwargs arguments"
PySide.jl,6,53,21,74,pyqtgraph examples
PySide.jl,6,360,200,560,add pyqtgraph module and examples
PySide.jl,6,595,11,606,pyqtgraph examples; d3 example
PySide.jl,6,417,59,476,"add some examples, clean others up"
PySide.jl,6,300,422,722,DataFrameModel
PySide.jl,6,1043,79,1122,many changes
PySide.jl,6,225,27,252,add workspace browesr
PySide.jl,6,177,12,189,data frame example
PySide.jl,6,1,1,2,fix typo
PySide.jl,6,46,4,50,"add qexec, update README"
PySide.jl,6,594,0,594,initial checkin
iopackage,2,49,21,70,more refactoring and fixes to verify.io
iopackage,2,61,34,95,refactored
iopackage,2,16,10,26,more stuff
iopackage,2,31,4,35,notes on special files
iopackage,2,125,4,129,simple verification library and package load example
iopackage,2,36,28,64,more notes on API
iopackage,2,5,0,5,more examples
iopackage,2,1,1,2,wording
iopackage,2,45,1,46,notes on design
iopackage,2,4,0,4,git clone method
iopackage,2,14,5,19,updated package.io
iopackage,2,20,0,20,draft iopackage.io
iopackage,2,10,0,10,initial commit
xqiv,0,22,2,24,README updated
xqiv,0,1,1,2,1.0.1
xqiv,0,6,3,9, f - open in finder
xqiv,0,1,1,2,ns::base_t::reset() nil parameter by default
xqiv,0,4,1,5,create .xqivattrs if required
xqiv,0,36,32,68,show pivot in info window
xqiv,0,292,126,418,do not display duplicates
xqiv,0,548,380,928, #! use QQAttributes class to manage attributes
xqiv,0,247,641,888, #! info window
xqiv,0,1038,433,1471, #! dev
xqiv,0,865,271,1136, dev
xqiv,0,1104,271,1375,"many changes which prepare for: * history, imange-info view, showdown if threads were unable to load images fast enough etc..."
xqiv,0,3,4,7,Merge remote-tracking branch 'remotes/github/master'
xqiv,0,10,4,14,on cache clear() reset pivot to 0
xqiv,0,130,3536,3666,"devel    * menu removed    * border behavior improved"
xqiv,0,40,0,40,xqiv/ns-array-of.h
xqiv,0,66,52,118,"improve window behavior    * mouse hides on next    * border hides on next, unhide on mouse move"
xqiv,0,14,0,14,ns-array-of
xqiv,0,235,137,372,"dvel    * some repo development    * crash/freeze fix"
xqiv,0,675,152,827," image repository support * Repository_t class + basic functionality * compiled with boost - from ports (statically)"
xqiv,0,3,4,7,Update README
xqiv,0,40,5,45,missigne subproject file added
xqiv,0,54,62,116,"empty spaces removed, code cleanups"
xqiv,0,10,0,10,gitignore
xqiv,0,135,13,148,basic cmd-line tool application
xqiv,0,0,6,6,code cleanups
xqiv,0,276,0,276,xqiv-cmd added
xqiv,0,2,3,5,Merge remote-tracking branch 'github/master'
xqiv,0,272,122,394,"    * use memory limit instead of number of images in cache    * cache images of window size instad of screen size"
xqiv,0,248,64,312,"    * QQImageView rotation fix    * cached image size may not be the screen size"
Rtorrent-Auto-Install,115,6,0,6,Update README.md
Rtorrent-Auto-Install,115,1,0,1,"Update Rtorrent-Auto-Install-4.0.0-Debian-JessieAdded apt-get update when installing install dependencies"
Rtorrent-Auto-Install,115,4,3,7,"Merge pull request #150 from ryandaniels/masterCheck for curl"
Rtorrent-Auto-Install,115,4,3,7,"Merge pull request #1 from ryandaniels/ryandaniels-patch-1Update Rtorrent-Auto-Install-4.0.0-Debian-Jessie"
Rtorrent-Auto-Install,115,4,3,7,"Update Rtorrent-Auto-Install-4.0.0-Debian-JessieInstall curl before downloading addons since new Jessie install doesn't include curl."
Rtorrent-Auto-Install,115,1,1,2,Update README.md
Rtorrent-Auto-Install,115,3,1,4,Update README.md
Rtorrent-Auto-Install,115,2,1,3,Update README.md
Rtorrent-Auto-Install,115,7,7,14,"Merge pull request #146 from midzer/patch1update versions in readme"
Rtorrent-Auto-Install,115,7,7,14,update versions
Rtorrent-Auto-Install,115,4,4,8,Readme edit
Rtorrent-Auto-Install,115,1,2,3,Readme edit
Rtorrent-Auto-Install,115,0,2693,2693,Deleted RaspberryPi scripts
Rtorrent-Auto-Install,115,1,1,2,Updated Readme
Rtorrent-Auto-Install,115,1962,0,1962,Updated rtorrent and libtorrent
Rtorrent-Auto-Install,115,0,1962,1962,Updated rtorrent and libtorrent
Rtorrent-Auto-Install,115,40,28,68,Fixed apache vhost issue and xmlrpc
Rtorrent-Auto-Install,115,4,4,8,Fixed apache vhost issue
Rtorrent-Auto-Install,115,5,5,10,Fixed apache vhost issue
Rtorrent-Auto-Install,115,26,15,41,Fixed apache vhost issue
Rtorrent-Auto-Install,115,3,0,3,Update README.md
Rtorrent-Auto-Install,115,11,11,22,Fixed xmlrpc and upgraded lib/rtorrent
Rtorrent-Auto-Install,115,2,2,4,"Merge pull request #140 from NemesisMate/patch-1Fixes #139"
Rtorrent-Auto-Install,115,2,2,4,Fixes #139
Rtorrent-Auto-Install,115,2,2,4,"Merge pull request #135 from midzer/patch1set new default plugins dir"
Rtorrent-Auto-Install,115,2,2,4,set new default plugins dir
Rtorrent-Auto-Install,115,1,1,2,Fix for https://github.com/Kerwood/rtorrent.auto.install/issues/129
Rtorrent-Auto-Install,115,1,1,2,Fix for https://github.com/Kerwood/rtorrent.auto.install/issues/129
Rtorrent-Auto-Install,115,1,1,2,Fix for https://github.com/Kerwood/rtorrent.auto.install/issues/129
Rtorrent-Auto-Install,115,1,1,2,Fixed ruTorrent download fail
moonshot-ui,1,8,8,16,Remove Alpine 3.11 and add 3.15
moonshot-ui,1,0,1,1,No manual jobs for master
moonshot-ui,1,9,8,17,Add debian 11 and remove Ubuntu 16 from CI
moonshot-ui,1,8,0,8,Tag ARM jobs
moonshot-ui,1,8,12,20,Update CI file
moonshot-ui,1,36,8,44,Merge branch 'develop' for release 1.3.4
moonshot-ui,1,5,2,7,Update changelogs
moonshot-ui,1,6,3,9,"MacOS: If the server fingerprint does not match, allow user to accept it"
moonshot-ui,1,15,0,15,"MacOS: return success when the ID has a caCertificate configuredWe rely on libeap checks, so we need to return success hereif we want caCertifacate to work"
moonshot-ui,1,4,3,7,VALA checks are not mandatory for MacOS
moonshot-ui,1,1,1,2,Set MacOS version right
moonshot-ui,1,7,1,8,Version bump
moonshot-ui,1,21,4,25,Merge branch 'develop' for release 1.3.3
moonshot-ui,1,7,2,9,Update changelog
moonshot-ui,1,5,6,11,"Revert ""Disable code that returned fingerprint OK when AnchorType was not SERVER_CERT""This reverts commit e81a25bd01126edad748841025bc619d61257a22."
moonshot-ui,1,2,2,4,"Revert ""Give TrustAnchorType.CA_CERT preference over SERVER_CERT""This reverts commit ad39fa5e4708d9edfeb64963c15d7f9611e7f7cd."
moonshot-ui,1,6,5,11,Disable code that returned fingerprint OK when AnchorType was not SERVER_CERT
moonshot-ui,1,1,1,2,AM_PROG_AR not available on Centos 6
moonshot-ui,1,2,0,2,"configure.ac: Use AM_PROG_AR to fix automake warningThis will fix the following:/usr/share/automake-1.16/am/ltlibrary.am: warning: 'libmoonshot/libmoonshot.la': linking libtool libraries using a non-POSIX/usr/share/automake-1.16/am/ltlibrary.am: archiver requires 'AM_PROG_AR' in 'configure.ac'"
moonshot-ui,1,5,1,6,configure.ac: Fail if valac compiler is not found
moonshot-ui,1,7,1,8,Version bump
moonshot-ui,1,71,113,184,Merge branch 'develop' for release 1.3.2
moonshot-ui,1,7,2,9,Update changelog
moonshot-ui,1,13,9,22,Document usage of MOONSHOT_UI_PWD env var
moonshot-ui,1,11,4,15,"Merge branch 'env_variable_encrypted_flat_file' into 'develop'Add support for reading the ENCRYPTED_FLAT_FILE password from env varsSee merge request moonshot/ui!23"
moonshot-ui,1,11,4,15,"Add support for reading the ENCRYPTED_FLAT_FILE password from env varsAllows using the MOONSHOT_UI_PWD to provide the master password."
moonshot-ui,1,0,9,9,Remove Debian/Raspbian 8 CI
moonshot-ui,1,34,69,103,Finish removing Alpine 3.8 CI
moonshot-ui,1,0,22,22,Remove alpine 3.8
moonshot-ui,1,1,4,5,Merge branch 'fix_debian_ci'
uvm-utest,1,3,8,11,update to svunit v3.*
uvm-utest,1,2,0,2,testing git
uvm-utest,1,70,1,71,new set of unit tests for the object macros
uvm-utest,1,119,0,119,uvm_phase get_schedule checkpoint
uvm-utest,1,80,6,86,phase checkpoint
uvm-utest,1,7,4,11,boat anchor release checkpoint
uvm-utest,1,61,17,78,decent commit. just a few touch-ups to come.
uvm-utest,1,73,120,193,first integrted and properly functioning version
uvm-utest,1,17,17,34,integration/clean checkpoint
uvm-utest,1,202,289,491,integration checkpoint - 2 windows working
uvm-utest,1,53,20,73,pre-integration checkpoint
uvm-utest,1,63,0,63,initial launch version
uvm-utest,1,107,98,205,checkpoint
uvm-utest,1,117,0,117,a version that actually runs with the boat anchor integrated
uvm-utest,1,5,5,10,rain poors down and renamed
uvm-utest,1,54,27,81,make it rain
uvm-utest,1,14,11,25,queue to list checkpoint
uvm-utest,1,74,37,111,queue checkpoint
uvm-utest,1,126,111,237,refactoring to add ascii_out
uvm-utest,1,242,0,242,initial of the cpp anchor
uvm-utest,1,38,7,45,done 9 bugs. won't do the 10th
uvm-utest,1,21,4,25,4638 checkpoint
uvm-utest,1,51,10,61,4637 checkpoint
uvm-utest,1,18,5,23,4636 checkpoint
uvm-utest,1,44,0,44,checkpoint
uvm-utest,1,87,0,87,boat anchor initial release
uvm-utest,1,13,13,26,remove the UVMHOME compile switches
uvm-utest,1,5,2,7,constructor checkpoint
uvm-utest,1,333,1,334,new uvm_phase_unit_test
uvm-utest,1,1,2,3,regenerated makefile
7l7w-io,0,30,1,31,Merge branch 'master' of https://github.com/pietrom/7l7w-io
7l7w-io,0,11,1,12,SPIKE Evaluate a block wich refers to a slot
7l7w-io,0,11,0,11,SPIKE Evaluate a block
7l7w-io,0,7,6,13,CLEANUP Removed println
7l7w-io,0,7,0,7,SPIKE if-then-else with true condition
7l7w-io,0,7,0,7,SPIKE ifTrue ifFalse
7l7w-io,0,7,0,7,SPIKE ifTrue
7l7w-io,0,7,0,7,SPIKE if with false condition
7l7w-io,0,8,0,8,SPIKE Conditional
7l7w-io,0,18,1,19,ENHANCEMENT Exclude slot whose name stars with 'test' when theirs type is not Block
7l7w-io,0,0,8,8,CLEANUP Removed println
7l7w-io,0,39,0,39,SPIKE Simple TestSuite like reflection
7l7w-io,0,0,1,1,CLEANUP Removed println
7l7w-io,0,11,0,11,SPIKE Evaluate slot content as method and execute it accessing a given context's slots
7l7w-io,0,6,0,6,SPIKE Evaluate slot content as method and execute it
7l7w-io,0,1,1,2,"CLEANUP Changed test description: slot content is executed as code, not as method"
7l7w-io,0,6,0,6,SPIKE Evaluate slot content as code
7l7w-io,0,6,0,6,SPIKE := creates slot without setter
7l7w-io,0,1,1,2,CLEANUP Fixed typo
7l7w-io,0,7,0,7,SPIKE Create slot with setter and values using ::=
7l7w-io,0,9,0,9,SPIKE = raises exception when target slot is not existing
7l7w-io,0,6,0,6,SPIKE Assing value to an existing slot using =
7l7w-io,0,0,13,13,CLEANUP Removed backup file
7l7w-io,0,26,0,26,SPIKE Create a slot and assign its value using :=
7l7w-io,0,17,0,17,SPIKE Intercepting missign message calls through forward method
7l7w-io,0,1,1,2,FORMATTING
7l7w-io,0,13,2,15,"SPIKE cloneWithoutInit and explicit init call, for 'constructor arguments'"
7l7w-io,0,7,3,10,REFACTORING Added Hello type supporing sayHello message
7l7w-io,0,5,0,5,SPIKE Method with optional parameter
7l7w-io,0,8,0,8,SPIKE Method with parameter
studies,1,181,0,181,Add missing task solutions for functional algorithms course.
studies,1,4930,0,4930,Add stuff for image processing course.
studies,1,3,0,3,Add README entry about `afp` folder.
studies,1,81,0,81,Add homework for advanced functional programming seminar.
studies,1,957,0,957,Add slides for advanced functional programming seminar.
studies,1,817,0,817,Add solutions for advanced functional programming seminar.
studies,1,8495,0,8495,Add assignment solutions for Coq lecture.
studies,1,2137,1,2138,Add programs for embedded systems laboratory.
studies,1,221,1,222,Add solutions for functional algorithms course.
studies,1,1217,0,1217,Add Python course final project (simple platformer called Japseu).
studies,1,995,0,995,Add LISP interpreter for compilers laboratory.
studies,1,9088,0,9088,Add exercises for computer graphics laboratory.
studies,1,1670,0,1670,Add exercises for operating system laboratory.
studies,1,388,0,388,Add next 2 solutions for extended Python exercises.
studies,1,4,0,4,Update README.md file with Python course description.
studies,1,779,0,779,Add first 7 solutions for extended Python exercises.
studies,1,0,358,358,Remove 5th list of UNIX course (6th one covers it).
studies,1,132,51,183,Merge branch 'master' of https://github.com/mrhania/studies
studies,1,1949,6,1955,"Add client-udp, client-server version of EIS and 2 new AiSD solutions."
studies,1,132,51,183,Remove some code repetition.
studies,1,268626,0,268626,Initial commit.
PSGI,7,5,2,7,1.2.1
PSGI,7,606,314,920,First commit after rework
PSGI,7,0,11,11,"Remove Travis CI, so long and thanks for all the fish!"
PSGI,7,1,1,2,Update source URL
PSGI,7,1,1,2,Updates URL
PSGI,7,17,11,28,Adds badge
PSGI,7,9,8,17,Updates travis configuration
PSGI,7,2,1,3,"Merge pull request #9 from zoffixznet/patch-1Add mandatory ""perl"" META field"
PSGI,7,2,1,3,"Add mandatory ""perl"" META fieldThe `perl` field specifies the minimal perl version for which this distribution can be installed and is a mandatory field. The value of `""6.*""` indicates any version suffices.It is recommended to use [Test::META](https://modules.perl6.org/repo/Test::META) module as an author test, to catch any issues with the META file."
PSGI,7,1,1,2,An actual version number in the META6.json
PSGI,7,186,20,206,"Supports P6SGI 0.7Draft now, see tests."
PSGI,7,7,2,9,"Merge pull request #7 from davepagurek/binary-dataAllow output to be a Buf"
PSGI,7,6,1,7,Add tests with Buf
PSGI,7,1,1,2,Allow output to be a Buf
PSGI,7,10,0,10,"META.info -> META6.json, added .travis.yml from hiroraba."
PSGI,7,2,2,4,"Merge pull request #4 from stmuk/masterreplace @*INC by use lib post-curli"
PSGI,7,2,2,4,replace @*INC by use lib post-curli
PSGI,7,53,16,69,Moved changes from HTTP::Easy back into here.
PSGI,7,91,4,95,Now supports P6SGI as well.
PSGI,7,0,0,0,"Merge pull request #3 from paultcochrane/pr/add-unit-declaratorAdd unit declarator to module declarations"
PSGI,7,1,1,2,"Merge pull request #2 from stmuk/masteradd unit to class"
PSGI,7,1,1,2,"Add unit declarator to module declarationsAs of Rakudo 2015.05, the `unit` declarator is required before using`module`, `class` or `grammar` declarations (unless it uses a block).  Codestill using the old blockless semicolon form will throw a warning. Thiscommit stops the warning from appearing in the new Rakudo."
PSGI,7,1,1,2,add unit to class
PSGI,7,3,0,3,Added S11 provides
PSGI,7,5,5,10,"Merge pull request #1 from softmoth/test-dupsFix test typos - check all combinations"
PSGI,7,5,5,10,"Fix test typos - check all combinationsChange %headers to @headers to appropriately check all combinationsin each set of tests."
PSGI,7,2,0,2,gitignore
PSGI,7,205,0,205,First version.
sourcemod-huntsman-hell,0,1,1,2,Fix medic round check.
sourcemod-huntsman-hell,0,18,4,22,Fixes for OIMM
sourcemod-huntsman-hell,0,677,0,677,Add license file
sourcemod-huntsman-hell,0,4,2,6,OIMM is now optional.
sourcemod-huntsman-hell,0,17,4,21,Merge branch 'master' of https://github.com/powerlord/sourcemod-huntsman-hell
sourcemod-huntsman-hell,0,28,8,36,Fix for players being set on fire when they shouldn't be.
sourcemod-huntsman-hell,0,19,5,24,Updated to support the addition of translation callback for OptIn Multimod.
sourcemod-huntsman-hell,0,95,39,134,"Version 1.7.1.  New cvar for Medic health.Medic Round choice now happens on map load and the end of each round due to timing issues.We now regenerate players after spawning them to fix their ammo counts (respawn doesn't?).The Jump Timer is now manually tracked and killed when the plugin isn't running."
sourcemod-huntsman-hell,0,1,1,2,MvM check was reversed.  Fixed now.
sourcemod-huntsman-hell,0,3,4,7,Always remove attributes when changing the enable cvar for all currently in-game players.
sourcemod-huntsman-hell,0,1,1,2,Unregister takes an additional argument.
sourcemod-huntsman-hell,0,48,13,61,Fixed a few issues with things being switched on mid-map and added initial support for the OptIn_MultiMod plugin.
sourcemod-huntsman-hell,0,5,0,5,Fix an issue where it's possible for the game description to not get set.
sourcemod-huntsman-hell,0,73,16,89,"Added Medic mode, default 10% chance"
sourcemod-huntsman-hell,0,895,813,1708,Added support for Medic rounds.  Needs testing.
sourcemod-huntsman-hell,0,12,12,24,Most cvars are now marked as notify so they can be searched
sourcemod-huntsman-hell,0,82,0,82,Added German translation
sourcemod-huntsman-hell,0,16,4,20,It help if we actually check the cvars for these menu items.
sourcemod-huntsman-hell,0,215,22,237,Help now exists and can be triggered via the /hh_help command.  Massive reworking of translation file including the removal of other languages.
sourcemod-huntsman-hell,0,131,12,143,Added double jump and fixed a bug with the jump timer.
sourcemod-huntsman-hell,0,1,1,2,Fix for an off by one error.
sourcemod-huntsman-hell,0,35,21,56,Additional fixes for game description changes
sourcemod-huntsman-hell,0,36,42,78,Redid changing modes mid-game
sourcemod-huntsman-hell,0,0,50,50,Removed old explosion check script
sourcemod-huntsman-hell,0,37,3,40,New kill icons
sourcemod-huntsman-hell,0,2,2,4,"Disable player_class hook, as it's unnecessary and causes bugs"
sourcemod-huntsman-hell,0,4,2,6,Merge branch 'master' of https://github.com/powerlord/sourcemod-huntsman-hell
sourcemod-huntsman-hell,0,3,2,5,Fix for SteamTools not being optional like it's supposed to.
sourcemod-huntsman-hell,0,4,2,6,Better game mode description
sourcemod-huntsman-hell,0,10,10,20,"Removed double jump, added a few minor alterations to cvar descriptions and limits for 1.3 release"
arpm,0,530,590,1120,"refactor: Code cleanup and rename files:Rename arpm_rpm_internals to arpm_rpm_typesMove all rpm tags to the new fileRemove unused code (C structure and imports)"
arpm,0,1,1,2,minor: change README formatting
arpm,0,12,1,13,minor: Modified README
arpm,0,2,308,310,Remove useless C code and C bridge
arpm,0,50,22,72,"Switch to Ada parser.No C code involved.There are only hton[sl] imported"
arpm,0,17,16,33,Rename Free to Close
arpm,0,1847,1839,3686,STYLE: Fix styling errors
arpm,0,839,839,1678,STYLE: Fix cases
arpm,0,1007,1007,2014,STYLE: fix styling issue
arpm,0,27,2,29,Free memory afterwards
arpm,0,1349,2,1351,Merge RPM files parser with matreshka branch
arpm,0,34,4,38,add aditional fields
arpm,0,1,1,2,Add style checking option
arpm,0,2,2,4,Add new warnings
arpm,0,8,7,15,Remove unused variables
arpm,0,12,31,43,Code cleanup
arpm,0,17,20,37,Fix legth calculation
arpm,0,187,166,353,Refactor packages
arpm,0,1,0,1,Fix memory leak
arpm,0,15,15,30,Improve memory management
arpm,0,7,1,8,Fix NULL pointer  segfault
arpm,0,81,56,137,"Add summary,description, url parser. Add schema"
arpm,0,51,43,94,Implement provides-requires and m-t-m
arpm,0,4,6,10,Remove foreign key
arpm,0,48,28,76,Fix multithreading
arpm,0,149,255,404,Refactored to use gnatcoll instead of matreshka_sql
arpm,0,12,4,16,Add exception handler to avoid task termination
arpm,0,28,10,38,Add arch field. Add arch to sha256
arpm,0,2,2,4,Tune DB
arpm,0,1,0,1,Add return under exception
jphiz,0,5,6,11,Removed wrong amp control from EnvGen.kr
jphiz,0,7,2,9,NarcissusSynthDefs: working release + amp
jphiz,0,14,4,18,"Narcissus + setRateSpec method for adjustable rate, + <>buffer to change buffers"
jphiz,0,6,6,12,synthdef variable rate and startpos
jphiz,0,1,1,2,Merge branch 'master' of https://github.com/iani/jphiz into jph-master-try
jphiz,0,1,1,2,Narcissus:enable debugged
jphiz,0,161,0,161,merg origin master
jphiz,0,5,4,9,premiere bonne version en quad
jphiz,0,21,214,235,130606 shorter release 0.3sec
jphiz,0,9,0,9,Added README and .gitignore
jphiz,0,166,4,170,Narcissus class. Tested preliminarily
jphiz,0,228,12,240,introducing smoothing lags one by one
jphiz,0,1,39,40,magabove inserted new working version
jphiz,0,81,0,81,after tests with iannis mid may
jphiz,0,54,15,69,added magabovelag to magabove synthdef
jphiz,0,18,0,18,added new simple one liners scripts
jphiz,0,9,5,14,first narcissus_startup to work in quad
jphiz,0,1,2,3,Reconstituting basic situation for swallow sound
jphiz,0,8,4,12,working swallows
jphiz,0,22,16,38,debugging blobs in narcissus startup
jphiz,0,63,8,71,narcissus startup version without ScriptLib
jphiz,0,2,0,2,Re-committing
jphiz,0,15,0,15,"+info on narcissus startup, test file for iz branch"
jphiz,0,1,1,2,Little changes narcissus startup
jphiz,0,7,0,7,narcissus startup explanations added in file
jphiz,0,269,0,269,First commit
jira-status-board,5,3,1,4,Update README.md
jira-status-board,5,8,0,8,Create README.md
jira-status-board,5,309,0,309,Initial upload
system_F_sub,0,181,2,183,most of the way through determinism; I think the case for T_Literals may be non-negligibly problematic
system_F_sub,0,294,380,674,cleaned up
system_F_sub,0,147,131,278,some cleaning
system_F_sub,0,11,27,38,meh
system_F_sub,0,121,105,226,soundness for subtypes
system_F_sub,0,6,5,11,Merge branch 'master' of github.com:retief/system_F_sub
system_F_sub,0,31,24,55,in progress.
system_F_sub,0,6,5,11,consistent_subtypes_record proven
system_F_sub,0,60,110,170,in progress
system_F_sub,0,30,13,43,"fixed induction hypotheses, consistent subtypes lemma"
system_F_sub,0,49,46,95,just need last lemma
system_F_sub,0,39,84,123,three cases of record lemma done
system_F_sub,0,122,6,128,Merge branch 'master' of github.com:retief/system_F_sub
system_F_sub,0,76,11,87,in progress
system_F_sub,0,122,6,128,reform [record_inversion] lemma
system_F_sub,0,159,24,183,has_type implies equal length
system_F_sub,0,11,1,12,lemma added
system_F_sub,0,4,0,4,Merge branch 'master' of github.com:retief/system_F_sub
system_F_sub,0,7,4,11,"proved soundness, if various lemmas can be proven"
system_F_sub,0,5,1,6,fixed lemma.
system_F_sub,0,82,83,165,Merge branch 'master' of github.com:retief/system_F_sub
system_F_sub,0,587,454,1041,partway towards preservation
system_F_sub,0,82,83,165,"cleaned up substitution_preserves_typing proof, some organizational things"
system_F_sub,0,39,2314,2353,substitution_preserves_typing proven
system_F_sub,0,371,385,756,TLiteral done in lemma
system_F_sub,0,5,0,5,work on substitution_preserves_typing
system_F_sub,0,2285,2249,4534,work on substitution_preserves_typing
system_F_sub,0,1557,1367,2924,fixed some cases in [substitution_preserves_typing]
system_F_sub,0,45,53,98,re-factored proof of context invariance
system_F_sub,0,54,22,76,"added .gitignore, working towards preservation"
ruby-ohai,0,1,1,2,- release 3 (by relup.sh)
ruby-ohai,0,1,1,2,"Release 2, rebuild with Ruby 2.6"
ruby-ohai,0,2,4,6,"up to 14.2.4bunch of style/performance fixesman page dropped upstream:https://github.com/chef/ohai/commit/f9084b440597b6b69509488df03371c7cddc813c"
ruby-ohai,0,20,54,74,Merge branch 'chef-14'
ruby-ohai,0,2,2,4,up to 14.2.0
ruby-ohai,0,1,1,2,update release notes url
ruby-ohai,0,16,36,52,- up to 14.2.0
ruby-ohai,0,13,13,26,up  to 14.1.7
ruby-ohai,0,1,1,2,- release 5 (by relup.sh)
ruby-ohai,0,1,1,2,- release 4 (by relup.sh)
ruby-ohai,0,1,1,2,"- rebuild with ruby 2.3- release 3 (by relup.sh)"
ruby-ohai,0,0,2,2,no longer using rake to build package
ruby-ohai,0,0,23,23,drop obsolete manpage
ruby-ohai,0,0,1,1,"drop mime-types depdropped by upstream:https://github.com/chef/ohai/commit/43c169d9bad2e01692a4d2d50933f20649166333"
ruby-ohai,0,0,9,9,remove deps autogenerated from rubygems
ruby-ohai,0,0,23,23,net/dhcp no longer required in ohai code
ruby-ohai,0,1,0,1,"requires ruby 2.0 according to .gemspechttps://github.com/chef/ohai/commit/4c21cf45891207a8b957cccdec2cd23439cbeceb"
ruby-ohai,0,1,0,1,skip plist dep
ruby-ohai,0,6,4,10,different way of writing .gemspec
ruby-ohai,0,7,7,14,update source to 8.16.0
ruby-ohai,0,5,5,10,up to 8.4.0
ruby-ohai,0,1,1,2,"- rebuild without versioned ruby abi dep- release 2 (by relup.sh)"
ruby-ohai,0,1,1,2,rel 1
ruby-ohai,0,12,3,15,loosen gem based deps
ruby-ohai,0,0,58,58,"drop virtualization-vserver.patchuse OHAI-182 for chained virtualizations systems"
ruby-ohai,0,25,1,26,make net-dhcp module optional
ruby-ohai,0,3,1,4,avoid taking ohai version from system ohai when building gem
ruby-ohai,0,7,7,14,up to 7.6.0
ruby-ohai,0,88,80,168,"Merge branch 'dev-7.0.0' into ohai-6Conflicts:	ruby-ohai.spec"
ruby-ohai,0,19,1,20,enforce platform_family
kitlogisticsweb,0,8,1,9,25y1
kitlogisticsweb,0,1,1,2,25y1
kitlogisticsweb,0,2,1,3,25y
kitlogisticsweb,0,1,1,2,25v
kitlogisticsweb,0,1,1,2,25v
kitlogisticsweb,0,9,1,10,25v
kitlogisticsweb,0,5,2,7,25v
kitlogisticsweb,0,1,1,2,25v
kitlogisticsweb,0,1,1,2,25n
kitlogisticsweb,0,1,1,2,25n
kitlogisticsweb,0,3,2,5,25n
kitlogisticsweb,0,1,1,2,25n
kitlogisticsweb,0,1,1,2,25n
kitlogisticsweb,0,1,1,2,25n
kitlogisticsweb,0,1,1,2,25n
kitlogisticsweb,0,1,1,2,25n
kitlogisticsweb,0,1,1,2,25m
kitlogisticsweb,0,0,0,0,25l
kitlogisticsweb,0,1,1,2,25l
kitlogisticsweb,0,1,1,2,25k
kitlogisticsweb,0,1,1,2,25j
kitlogisticsweb,0,4,1,5,25i
kitlogisticsweb,0,1,1,2,25i
kitlogisticsweb,0,1,1,2,25h
kitlogisticsweb,0,1,1,2,25g
kitlogisticsweb,0,1,1,2,25f
kitlogisticsweb,0,1,1,2,"Revert ""25c""This reverts commit 9116250b87ca4b696b7fbaaf9651d2ccd7a19bcd."
kitlogisticsweb,0,1,1,2,25c
kitlogisticsweb,0,1,1,2,25d
kitlogisticsweb,0,1,1,2,25d
FLOP,0,179,0,179,started ABI loader
FLOP,0,0,0,0,further moving
FLOP,0,8,8,16,Moved files around
FLOP,0,1,6,7,Fixed setup unknown. closes #4
FLOP,0,13,2,15,FLOPInit now deletes the first file list block. closes #1
FLOP,0,3,1,4,fixed drives with no file entries
FLOP,0,2,2,4,cleaning
